order_item_id,order_id,menu_item_id,quantity,item_price
1,1,27,1,6.75
2,2,1,1,6.25
3,2,2,1,6.5
4,2,12,1,6.25
5,3,20,1,9.25
6,3,1,1,6.25
7,4,1,1,6.25
8,4,29,1,9.25
9,5,33,1,8.0
10,6,9,1,6.75
11,7,27,1,6.75
12,8,7,1,7.25
13,9,7,1,8.0
14,10,2,1,6.5
15,11,31,1,8.0
16,11,9,1,7.75
17,11,7,1,8.75
18,12,27,1,6.75
19,12,18,1,6.5
20,12,1,1,7.0
21,13,7,1,8.75
22,13,1,1,8.5
23,14,2,1,6.5
24,15,15,1,8.75
25,16,29,1,7.75
26,16,1,1,6.25
27,16,7,1,7.25
28,17,27,1,7.5
29,17,27,1,6.75
30,18,34,1,7.0
31,18,5,1,7.25
32,18,20,1,7.5
33,19,9,1,6.75
34,19,27,1,8.25
35,20,4,1,8.25
36,21,2,1,6.5
37,22,7,1,8.0
38,23,2,1,6.5
39,24,17,1,7.75
40,25,27,1,7.5
41,26,9,1,7.5
42,27,29,1,8.5
43,28,9,1,9.0
44,29,2,1,6.5
45,30,31,1,7.25
46,31,18,1,5.75
47,31,7,1,8.0
48,32,28,1,6.5
49,33,29,1,9.25
50,34,6,1,6.25
51,34,27,1,6.75
52,35,2,1,6.5
53,36,9,1,7.5
54,36,9,1,8.25
55,37,1,1,6.25
56,38,7,1,6.5
57,39,22,1,9.0
58,40,33,1,8.0
59,41,4,1,9.0
60,41,29,1,7.0
61,42,1,1,7.0
62,43,7,1,6.5
63,44,24,1,7.25
64,45,8,1,6.5
65,45,10,1,6.5
66,46,7,1,7.25
67,46,31,1,7.25
68,47,7,1,6.5
69,48,36,1,7.5
70,49,27,1,6.75
71,50,1,1,7.0
72,51,7,1,7.25
73,52,28,1,6.5
74,53,1,1,7.0
75,53,7,1,8.0
76,54,3,1,7.0
77,55,7,1,7.25
78,56,27,1,7.5
79,57,7,1,6.5
80,58,2,1,7.25
81,59,27,1,8.25
82,60,7,1,6.5
83,60,23,1,8.5
84,61,7,1,9.0
85,62,27,1,6.75
86,62,7,1,8.75
87,63,27,1,6.75
88,64,9,1,9.0
89,65,9,1,8.25
90,66,7,1,7.25
91,67,9,1,8.25
92,67,9,1,6.75
93,68,29,1,9.25
94,69,29,1,7.0
95,69,29,1,7.75
96,70,7,1,6.5
97,71,34,1,7.0
98,72,27,1,9.0
99,73,11,1,7.5
100,74,1,1,7.0
101,75,1,1,7.75
102,76,13,1,7.0
103,76,7,1,6.5
104,77,14,1,7.0
105,78,1,1,7.0
106,78,27,1,8.25
107,79,27,1,6.75
108,80,7,1,8.0
109,81,16,1,6.5
110,82,29,1,8.5
111,83,7,1,6.5
112,83,30,1,9.25
113,84,27,1,8.25
114,85,27,1,7.5
115,85,29,1,9.25
116,86,27,1,7.5
117,87,2,1,6.5
118,87,7,1,8.0
119,88,9,1,7.5
120,89,9,1,7.5
121,89,9,1,6.75
122,90,9,1,6.75
123,91,29,1,7.0
124,92,2,1,6.5
125,93,7,1,8.0
126,94,13,1,7.75
127,95,11,1,5.25
128,96,4,1,6.75
129,97,1,1,7.75
130,97,27,1,6.75
131,98,7,1,7.25
132,99,4,1,7.5
133,99,15,1,6.5
134,100,1,1,6.25
135,101,15,1,7.25
136,102,27,1,6.75
137,102,7,1,6.5
138,103,39,1,9.25
139,103,25,1,7.0
140,104,1,1,6.25
141,105,2,1,6.5
142,106,10,1,6.5
143,107,7,1,6.5
144,108,1,1,6.25
145,109,2,1,6.5
146,109,3,1,7.25
147,110,9,1,8.25
148,111,1,1,8.5
149,112,7,1,8.75
